title,link,category,description,telephone,address,roadAddress,mapx,mapy,dong,category_keyword
버터앤쉘터 연남점,https://butterandshelter.com/,"음식점>카페,디저트",,,서울특별시 마포구 연남동 239-39 102호,서울특별시 마포구 성미산로 170 102호,1269245885,375641717,연남동,카페
코코로카라,http://kokorokara.store,"카페,디저트>베이커리",,,서울특별시 마포구 연남동 568-15,서울특별시 마포구 연남로1길 41,1269209445,375598025,연남동,카페
미쁘동 연남본점,https://www.mibbedong.com/,음식점>일식>일식당,,,서울특별시 마포구 연남동 384-7 2층,서울특별시 마포구 동교로38길 33-21 2층,1269262048,375621119,연남동,맛집
<b>연남동</b> 베르데,https://www.threads.net/@mexicangrill_verde,"음식점>멕시코,남미음식",,,서울특별시 마포구 연남동 387-13 1층,서울특별시 마포구 동교로 262-6 1층,1269254674,375628233,연남동,맛집
연하동 연남본점,https://www.instagram.com/yeonhadong,음식점>일식>일식당,,,서울특별시 마포구 연남동 373-15,서울특별시 마포구 연남로 6,1269235360,375604990,연남동,맛집
카쿠시타,http://www.instagram.com/kakusita_izakaya,술집>이자카야,,,서울특별시 마포구 연남동 390-30 지하1층,서울특별시 마포구 동교로38길 33-15 지하1층,1269261158,375618788,연남동,술집
미쁘동 연남2호점,https://www.mibbedong.com/,음식점>일식>일식당,,,"서울특별시 마포구 연남동 384-8 지1층, 1층","서울특별시 마포구 동교로38길 33-20 지1층, 1층",1269263137,375620883,연남동,술집
평화연남,https://www.instagram.com/pyeonghwa_yeonnam_official,"한식>곱창,막창,양",,,서울특별시 마포구 연남동 228-41,서울특별시 마포구 동교로 254-1,1269247428,375625103,연남동,술집
야키토리 고꼬연남,https://www.instagram.com/yakitori_gokko_yn,술집>이자카야,,,서울특별시 마포구 연남동 257-7 1층 101호,서울특별시 마포구 성미산로26길 41 1층 101호,1269234902,375621871,연남동,술집
삐딱 연남점,https://app.catchtable.co.kr/ct/shop/bbiddak_yeonnam?from=share&type=WAITING,술집>요리주점,,,서울특별시 마포구 연남동 260-48 1층,서울특별시 마포구 동교로34길 6 1층,1269246903,375609610,연남동,술집
짱<b>오락실</b> 상암동 메가박스점,https://blog.naver.com/co-zzang,"스포츠,오락>오락실",,,서울특별시 마포구 성산동 515-3,,1268979207,375690362,성산동,오락실
OX코인노래연습장 <b>마포구</b>청점,http://pf.kakao.com/_aUlxob,오락시설>노래방,,,서울특별시 마포구 성산동 592-2 2층,서울특별시 마포구 월드컵로34길 6 2층,1269031513,375646443,성산동,오락실
충암<b>볼링장</b>,,"스포츠,오락>볼링장",,,서울특별시 서대문구 남가좌동 1-2,서울특별시 서대문구 명지대길 103,1269228294,375846200,성산동,볼링장
한큐<b>당구장</b>,,"스포츠,오락>당구장",,,서울특별시 마포구 성산동 593-5 지하1층 B01호,서울특별시 마포구 모래내로3길 11 지하1층 B01호,1269045512,375649450,성산동,당구장
근영<b>당구장</b>,,"스포츠,오락>당구장",,,서울특별시 마포구 성산동 157-3 602호,서울특별시 마포구 월드컵북로 207 602호,1269056503,375688012,성산동,당구장
스킬<b>당구장</b>,,"스포츠,오락>당구장",,,서울특별시 마포구 성산동 292-2 4층,서울특별시 마포구 성미산로 4 4층,1269088959,375580370,성산동,당구장
<b>마포구</b>성산<b>당구장</b>아카데미,https://maposportal.or.kr/,"스포츠,오락>당구장",,,서울특별시 마포구 성산동 533-1 2층,서울특별시 마포구 월드컵로 235 2층,1268985079,375651985,성산동,당구장
퀸<b>당구장</b>,,"스포츠,오락>당구장",,,서울특별시 마포구 성산동 592-4 2층 퀸당구장,서울특별시 마포구 모래내로1길 3 2층 퀸당구장,1269038944,375645578,성산동,당구장
고브이알,http://govr.kr/,소프트웨어개발>가상현실,,,서울특별시 마포구 상암동 1605 연구개발타워 1105-11호,서울특별시 마포구 월드컵북로 396 연구개발타워 1105-11호,1268898190,375793419,성산동,VR체험
점핑하우스,,"키즈카페,실내놀이터",,,서울특별시 마포구 성산동 160-4 경언빌딩 지하1층 점핑하우스,서울특별시 마포구 월드컵로36길 50 경언빌딩 지하1층 점핑하우스,1269056760,375682935,성산동,키즈카페
세븐스타 코인노래연습장 <b>마포구</b>청역점,,오락시설>노래방,,,서울특별시 마포구 성산동 591-4 대명비첸시티오피스텔 202호,서울특별시 마포구 월드컵로 196 대명비첸시티오피스텔 202호,1269026425,375647322,성산동,노래방
탑<b>노래방</b>,,"스포츠,오락>노래방",,,서울특별시 마포구 성산동 251-12,서울특별시 마포구 성미산로 5,1269089009,375583131,성산동,노래방
2차는노래연습장,,"스포츠,오락>노래방",,,서울특별시 마포구 성산동 266-16 지하 1층,서울특별시 마포구 월드컵로30길 5 지하 1층,1269057602,375614161,성산동,노래방
하모니<b>노래방</b>,,"스포츠,오락>노래방",,,서울특별시 마포구 성산동 200-1,서울특별시 마포구 월드컵북로 190,1269078561,375683406,성산동,노래방
라이또<b>PC방</b> 마포성산점,,"스포츠,오락>PC방",,,서울특별시 마포구 성산동 593-10 태림센 트윈상암 지하1층 비101호,서울특별시 마포구 모래내로3길 3 태림센 트윈상암 지하1층 비101호,1269054847,375644913,성산동,PC방
탑플레이스 <b>PC방</b>,,"스포츠,오락>PC방",,,서울특별시 마포구 성산동 20-12,서울특별시 마포구 월드컵북로16길 27,1269158497,375631684,성산동,PC방
제우스PC 성산점,,"스포츠,오락>PC방",,,서울특별시 마포구 성산동 601 지하1층,서울특별시 마포구 월드컵북로30길 13 지하1층,1269083506,375686066,성산동,PC방
아이넷퍼펙트,http://inetperfect.com,"스포츠,오락>PC방",,,서울특별시 마포구 성산동 251-31,서울특별시 마포구 성미산로 11,1269094060,375584327,성산동,PC방
마나피시존,,"스포츠,오락>PC방",,,서울특별시 마포구 성산동 292-2 석원빌딩 2층,서울특별시 마포구 성미산로 4 석원빌딩 2층,1269089100,375580400,성산동,PC방
월드컵스파랜드24,,"생활,편의>찜질방",,,서울특별시 마포구 성산동 515,서울특별시 마포구 월드컵로 240,1268976667,375673149,성산동,찜질방
리치몬드 과자점 성산본점,https://www.instagram.com/richemont_patisserie/,"카페,디저트>베이커리",,,서울특별시 마포구 성산동 114-5,서울특별시 마포구 월드컵북로 86,1269156754,375613259,성산동,카페
배스킨라빈스 <b>마포구</b>청역,https://blog.naver.com/brgirl31/,"카페,디저트>아이스크림",,,서울특별시 마포구 성산동 266-13,서울특별시 마포구 월드컵로 150,1269056334,375613546,성산동,카페
캘리포니아도넛클럽 성산 직영점,https://www.instagram.com/californiadonutclub?igsh=Nm42b3pzcGd0Mm92,"카페,디저트>도넛",,,서울특별시 마포구 성산동 17-13 1층 간판없는 통유리 매장,서울특별시 마포구 월드컵북로16길 30 1층 간판없는 통유리 매장,1269159232,375629488,성산동,카페
투썸플레이스 <b>마포구</b>청점,,"카페,디저트>카페",,,서울특별시 마포구 성산동 590-1 1층,서울특별시 마포구 월드컵로36길 14 1층,1269028563,375658940,성산동,카페
이디야커피 상암홈플러스점,https://blog.naver.com/ediya-coffee,"카페,디저트>카페",,,서울특별시 마포구 성산동 515 2층 이디야커피,서울특별시 마포구 월드컵로 240 2층 이디야커피,1268985092,375676750,성산동,카페
찌개의정석 마포<b>성산동</b>점,,"한식>백반,가정식",,,서울특별시 마포구 성산동 54-1,서울특별시 마포구 월드컵북로23길 9,1269117889,375645025,성산동,맛집
피자 스피릿,,음식점>피자,,,서울특별시 마포구 성산동 260-2 금수빌딩 1층 피자스피릿,서울특별시 마포구 월드컵로 134 금수빌딩 1층 피자스피릿,1269068458,375600087,성산동,맛집
우리바다수산,,한식>생선회,,,서울특별시 마포구 성산동 649-5,서울특별시 마포구 월드컵로 102,1269089111,375577265,성산동,맛집
노브랜드버거 메가박스상암점,https://www.shinsegaefood.com/nobrandburger/index.sf,음식점>양식>햄버거,,,서울특별시 마포구 성산동 515 메가박스 1층,서울특별시 마포구 월드컵로 240 메가박스 1층,1268972733,375682553,성산동,맛집
베이직프라이드치킨,https://베이직프라이드치킨.com,"술집>맥주,호프",,,서울특별시 마포구 성산동 260-8 1층,서울특별시 마포구 월드컵로 140 1층,1269064630,375605027,성산동,술집
춘향골남원추어탕 <b>마포구</b>청점,http://chunhyanggol.com/,한식>추어탕,,,서울특별시 마포구 성산동 590-2 삼라마이다스 109~111호,서울특별시 마포구 월드컵로36길 18 삼라마이다스 109~111호,1269035110,375663106,성산동,술집
살롱 드 상상,https://app.catchtable.co.kr/ct/shop/sangsang_salon,술집>와인,,,서울특별시 마포구 성산동 103-20 더위빌딩 1층 살롱드상상,서울특별시 마포구 월드컵북로15길 20 더위빌딩 1층 살롱드상상,1269130097,375629459,성산동,술집
섭스,https://blog.naver.com/seobs_bar,술집>바(BAR),,,서울특별시 마포구 성산동 3-24 주차장 안쪽 녹색문 (지하),서울특별시 마포구 연남로11길 52 주차장 안쪽 녹색문 (지하),1269160741,375653227,성산동,술집
금별맥주 <b>마포구</b>청점,,"술집>맥주,호프",,,서울특별시 마포구 성산동 592-2 2층 금별맥주,서울특별시 마포구 월드컵로34길 6 2층 금별맥주,1269030134,375646091,성산동,술집
럭키코인동전노래연습장,,오락시설>노래방,,,서울특별시 마포구 상암동 35-1,서울특별시 마포구 월드컵북로44길 49,1268947454,375768334,상암동,오락실
뽀뽑기,,"스포츠,오락>오락실",,,서울특별시 마포구 상암동 14-7,서울특별시 마포구 매봉산로2길 34,1268954674,375777154,상암동,오락실
쿠보 DMC점,,"스포츠,오락>오락실",,,서울특별시 마포구 상암동 5-6 1층,서울특별시 마포구 매봉산로2길 27 1층,1268954024,375780060,상암동,오락실
도전<b>볼링장</b>,http://www.instagram.com/dojeon_bowling,"스포츠,오락>볼링장",,,서울특별시 강서구 염창동 310 아네스트염창 지하 1층 도전볼링장,서울특별시 강서구 공항대로 593 아네스트염창 지하 1층 도전볼링장,1268715382,375481453,상암동,볼링장
몬스터볼,https://www.instagram.com/monsterbowling_gs?igsh=MWlhZ3VtMjg1dDh6bQ%3D%3D&utm_source=qr,"스포츠,오락>볼링장",,,서울특별시 강서구 등촌동 700 플러스존빌딩 지하1층,서울특별시 강서구 공항대로41길 34 플러스존빌딩 지하1층,1268457076,375593002,상암동,볼링장
